index,Job No,Date,Schd Time Start,Schd Time End,Latitude,Longitude,Customer number,Customer Name,Site Name,Address 1,Address 2,City,State,PostCode,Zone,Phone,Qty Scheduled,Qty Serviced,Serv Type,Container Type,Bin Volume,Status,Truck number,Route number,Generate ID,Initial Entry Date,Weight,Prorated Weight,Booking Reference 1,Booking Reference 2,Alternate Ref No 1,Alternate Ref No 2,Alternate Service Ref 1,Alternate Service Ref 2,Notes,Directions,CheckLists,Waste Type,Tip Site,Price,PO,Weekday,RowNum
5059,805630.01000,2016-11-08,NULL,01:25,151.2055300,-33.8670110,2740.00000,Clarence Tower,NULL,80 Clarence Street,NULL,Sydney,NSW,2000,NULL,0498 200 054,1,1,LOOSE,240L,0,C,XVA350,RED,NULL,08/11/16 01:26:14,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,1,1
5062,805690.01000,2016-11-08,NULL,03:06,151.2093130,-33.8650440,2354.00500,Dimeo,NULL,8 Spring Street,NULL,Sydney,NSW,2000,NULL,NULL,3,3,LOOSE,240L,0,C,XVA350,RED,NULL,08/11/16 03:06:29,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,**MUST be serviced between 8.30PM and 10PM** TAG PROVIDED,NULL,Paper/Cardboard,NULL,0.000,NULL,1,1
106,812980.00000,2016-11-13,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,CG40UW,RLE,11/11/2016-01:14:03-RunGen217,11/11/16 01:14:56,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
36,814889.01000,2016-11-17,NULL,12:43,151.2087460,-33.8662960,1825.00200,Sydneywide Commercial Cleaning P/L,NULL,107 Pitt Street,NULL,Sydney,NSW,2000,NULL,NULL,6,6,LOOSE,LOOSE,0,C,XVA350,RED,NULL,17/11/16 00:44:09,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Must be done between 11PM & 2AM - kerbside.,NULL,Cardboard,NULL,0.000,NULL,3,1
37,814918.01000,2016-11-17,NULL,01:04,151.2099470,-33.8697140,1324.01000,Priority Property Services P/L,NULL,4 Martin Place,NULL,Sydney,NSW,2000,NULL,NULL,1,1,LOOSE,240L,0,C,XVA350,RED,NULL,17/11/16 01:04:35,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Swipe card,NULL,Paper/Cardboard,NULL,0.000,NULL,3,1
1337,815813.00000,2016-11-16,00:00,00:00,151.1992790,-33.8982340,2100.03000,SGB - POMT,NULL,98 Wyndham Street,NULL,Alexandria,NSW,2015,NULL,NULL,2,2,COL,1100L,0,NULL,CF71JM,RLI,NULL,15/11/16 15:01:39,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,**RESIDENTIAL AREA - AFTER 6AM** Site contact is Ma - 1300 660 610,NULL,General Waste,NULL,72.600,NULL,1,1
3993,816629.01000,2016-11-18,NULL,02:12,151.0788710,-33.8513900,2257.00100,ATM Cleaning Management P/L,NULL,3 Innovation Rd,NULL,North Ryde,NSW,NULL,NULL,NULL,1,1,LOOSE,1100L,0,C,CG40UW,RLE,NULL,18/11/16 02:12:38,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Swipe card & key only take blue bags and bin  not black or white bags.,NULL,General Waste,NULL,0.000,NULL,4,1
3995,816638.01000,2016-11-18,NULL,12:18,151.1292710,-33.7842420,2354.01100,Dimeo,NULL,168 Walker Street,NULL,North Sydney,NSW,2060,NULL,NULL,2,2,LOOSE,240L,0,C,CG40UW,RLE,NULL,18/11/16 00:18:44,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,**SWIPE PROVIDED** After 8pm and Before 9pm,NULL,General Waste,NULL,0.000,NULL,4,1
3470,817909.01000,2016-11-19,NULL,01:27,151.1292170,-33.7841950,1095.00000,Benmill & J> No. 3 Pty Ltd - Bayer Building,NULL,275 Alfred Street North,NULL,North Sydney,NSW,2060,NULL,NULL,1,1,LOOSE,660L,0,C,CG40UW,RLE,NULL,19/11/16 01:27:13,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pick up from rear of building.  After 7:30pm,NULL,Dry Waste,NULL,0.000,NULL,5,1
1723,818858.01000,2016-11-22,NULL,02:00,151.2085820,-33.8661990,1825.00200,Sydneywide Commercial Cleaning P/L,NULL,107 Pitt Street,NULL,Sydney,NSW,2000,NULL,NULL,4,4,LOOSE,BALES,0,C,XVA350,RED,NULL,22/11/16 02:01:08,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Must be done between 11PM & 2AM - kerbside.,NULL,Cardboard,NULL,0.000,NULL,1,1
1724,818858.02000,2016-11-22,NULL,02:00,151.2085820,-33.8661990,1825.00200,Sydneywide Commercial Cleaning P/L,NULL,107 Pitt Street,NULL,Sydney,NSW,2000,NULL,NULL,3,3,LOOSE,LOOSE,0,C,XVA350,RED,NULL,22/11/16 02:01:08,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Must be done between 11PM & 2AM - kerbside.,NULL,Cardboard,NULL,0.000,NULL,1,1
2947,823301.01000,2016-11-25,NULL,12:47,151.1292560,-33.7842430,1342.00000,BM Building Services,NULL,153 Walker Street,NULL,North Sydney,NSW,2060,NULL,0405 510 708,1,1,LOOSE,660L,0,C,CG40UW,RLE,NULL,25/11/16 00:47:22,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Collect in Little walker St,NULL,General Waste,NULL,0.000,NULL,4,1
1018,823955.01000,2016-11-26,NULL,01:45,151.2056580,-33.8667650,2740.00000,Clarence Tower,NULL,80 Clarence Street,NULL,Sydney,NSW,2000,NULL,0498 200 054,2,2,LOOSE,240L,0,C,XVA350,RED,NULL,26/11/16 01:45:23,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
1019,823978.01000,2016-11-26,NULL,12:33,151.2060130,-33.8715940,2459.00300,Timeless Commercial Cleaning,NULL,131 York Street,NULL,Sydney,NSW,2000,NULL,NULL,2,2,LOOSE,660L,0,C,XVA350,RED,NULL,26/11/16 00:33:45,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper bins out front. Use card for glass doors.,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
84,775152.00000,2016-09-24,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,23/09/2016-01:05:16-RunGen217,23/09/16 01:05:17,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
4672,770931.00000,2016-09-15,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,RLC,RLC,14/09/2016-01:00:46-RunGen217,14/09/16 01:00:47,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
724,779364.00000,2016-10-02,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,NULL,RLE,30/09/2016-01:01:18-RunGen217,30/09/16 01:01:20,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
4968,770413.00000,2016-09-14,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,RL1,RL1,13/09/2016-00:59:38-RunGen217,13/09/16 00:59:39,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
1847,772931.00000,2016-09-21,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RL1,20/09/2016-00:59:41-RunGen217,20/09/16 00:59:42,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
3724,771954.00000,2016-09-17,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,RL8,RL8,16/09/2016-01:13:22-RunGen217,16/09/16 01:13:22,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
1015,779203.00000,2016-10-01,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,30/09/2016-01:00:48-RunGen217,30/09/16 01:00:48,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
1430,773673.00000,2016-09-22,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RLC,21/09/2016-01:00:17-RunGen217,21/09/16 01:00:17,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
5436,775291.00000,2016-09-25,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,NULL,RLE,23/09/2016-01:05:38-RunGen217,23/09/16 01:05:39,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
3187,776461.00000,2016-09-28,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RL1,27/09/2016-01:04:14-RunGen217,27/09/16 01:04:15,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
2645,777395.00000,2016-09-29,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RLC,28/09/2016-01:12:00-RunGen217,28/09/16 01:12:01,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
925,784001.00000,2016-10-09,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,NULL,RLE,08/10/2016-01:01:46-RunGen217,08/10/16 01:01:49,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
678,789145.00000,2016-10-15,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,15/10/2016-01:02:35-RunGen217,15/10/16 01:02:36,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
281,789363.00000,2016-10-16,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,NULL,RLE,15/10/2016-01:02:59-RunGen217,15/10/16 01:03:01,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
2482,791075.00000,2016-10-19,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RL1,19/10/2016-01:00:33-RunGen217,19/10/16 01:00:33,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
3110,781761.00000,2016-10-06,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RLC,06/10/2016-01:02:27-RunGen217,06/10/16 01:02:28,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
3350,785330.00000,2016-10-12,NULL,NULL,0.0000000,0.0000000,2576.00200,JLL (NSW) Pty Ltd - Marketplace Leichardt - Dock 2,NULL,100 Flood Street,NULL,Leichhardt,NSW,2040,NULL,NULL,4,4,COL,1100L,1.1,R,NULL,BR2,12/10/2016-01:02:35-RunGen217,12/10/16 01:02:36,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,If Dock closed call 0425 627 927. Please SMS 0418 404 566 if missing timeslot for night pick up.  Dock 2.,NULL,General Waste,NULL,154.880,NULL,2,1
3549,785510.00000,2016-10-12,NULL,NULL,0.0000000,0.0000000,2841.00000,Little Learning School Artarmon Pty Ltd,NULL,88 Dickson Avenue,NULL,Artarmon,NSW,2064,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RL1,12/10/2016-01:07:19-RunGen217,12/10/16 01:07:20,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,39.150,NULL,1,1
1720,792411.00000,2016-10-20,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RLC,20/10/2016-01:09:25-RunGen217,20/10/16 01:09:25,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
2844,786743.00000,2016-10-13,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,NULL,RLC,13/10/2016-01:05:02-RunGen217,13/10/16 01:05:03,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
826,793658.00000,2016-10-22,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,21/10/2016-01:06:29-RunGen217,21/10/16 01:06:29,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
4560,799799.00000,2016-10-30,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,NULL,RLE,28/10/2016-01:07:16-RunGen217,28/10/16 01:07:23,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
2259,790879.00000,2016-10-19,NULL,NULL,0.0000000,0.0000000,2576.00200,JLL (NSW) Pty Ltd - Marketplace Leichardt - Dock 2,NULL,100 Flood Street,NULL,Leichhardt,NSW,2040,NULL,NULL,4,4,COL,1100L,1.1,R,NULL,BR2,19/10/2016-00:59:54-RunGen217,19/10/16 00:59:54,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,If Dock closed call 0425 627 927. Please SMS 0418 404 566 if missing timeslot for night pick up.  Dock 2.,NULL,General Waste,NULL,154.880,NULL,2,1
2999,802894.01000,2016-11-04,NULL,02:25,151.2084690,-33.8668550,1825.00200,Sydneywide Commercial Cleaning P/L,NULL,107 Pitt Street,NULL,Sydney,NSW,2000,NULL,NULL,6,6,LOOSE,LOOSE,0,C,XVA350,RED,NULL,04/11/16 02:25:30,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Must be done between 11PM & 2AM - kerbside.,NULL,Cardboard,NULL,0.000,NULL,4,1
427,793878.00000,2016-10-23,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,NULL,RLE,21/10/2016-01:07:24-RunGen217,21/10/16 01:07:27,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
5433,803302.00000,2016-11-03,NULL,NULL,0.0000000,0.0000000,1314.15900,Gilroy's Hotel,NULL,75 Christie Street,NULL,Saint Leonards,NSW,2065,NULL,CS - 13 73 73,1,1,COL,240L,0.24,R,WHE332,RLC,01/11/2016-11:51:44-RunGen217,01/11/16 11:51:44,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,REMONDIS BIN Bin located in bin room - gates unlocked,NULL,Comingle,NULL,8.800,NULL,5,1
5434,803303.00000,2016-11-03,NULL,NULL,0.0000000,0.0000000,1518.00200,Hanave - Zara Tower,NULL,61 Wentworth St,NULL,Sydney,NSW,2000,NULL,NULL,1,1,COL,660L,0.66,R,WHE332,RLC,01/11/2016-11:51:44-RunGen217,01/11/16 11:51:45,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61-65 Wentworth St  bins presented in dock in Foy Lane. Put bins back in dock.,NULL,Glass Bin,NULL,23.850,NULL,5,1
333,800615.01000,2016-11-02,NULL,03:13,151.2091230,-33.8795610,1044.00700,Broadlex Services P. L. - Bligh House - A01141,NULL,4-6 Bligh Street,NULL,Sydney,NSW,2000,NULL,NULL,14,14,LOOSE,120L,0,C,XVA350,RED,NULL,02/11/16 03:13:40,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,2,1
2349,795402.00000,2016-10-26,NULL,NULL,0.0000000,0.0000000,2576.00200,JLL (NSW) Pty Ltd - Marketplace Leichardt - Dock 2,NULL,100 Flood Street,NULL,Leichhardt,NSW,2040,NULL,NULL,4,4,COL,1100L,1.1,R,NULL,BR2,25/10/2016-01:03:49-RunGen217,25/10/16 01:03:50,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,If Dock closed call 0425 627 927. Please SMS 0418 404 566 if missing timeslot for night pick up.  Dock 2.,NULL,General Waste,NULL,154.880,NULL,2,1
1657,803699.00000,2016-11-02,NULL,02:29,151.2076450,-33.8669800,1.00000,NULL,NULL,4  Martin Pl,NULL,Sydney,NSW,2000,NULL,NULL,6,2,COL,240L,0,C,XVA350,RED,NULL,02/11/16 02:29:13,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,2,1
1765,796976.00000,2016-10-27,NULL,NULL,0.0000000,0.0000000,1314.15900,Gilroy's Hotel,NULL,75 Christie Street,NULL,Saint Leonards,NSW,2065,NULL,CS - 13 73 73,1,1,COL,240L,0.24,R,NULL,RLC,26/10/2016-01:04:19-RunGen217,26/10/16 01:04:20,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,REMONDIS BIN Bin located in bin room - gates unlocked,NULL,Comingle,NULL,8.800,NULL,5,1
2324,808297.01000,2016-11-10,NULL,12:44,151.2054420,-33.8665900,2740.00000,Clarence Tower,NULL,80 Clarence Street,NULL,Sydney,NSW,2000,NULL,0498 200 054,1,1,LOOSE,240L,0,C,XVA350,RED,NULL,10/11/16 00:44:26,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paper/Cardboard,NULL,0.000,NULL,3,1
2820,806146.00000,2016-11-05,NULL,NULL,0.0000000,0.0000000,1618.00200,Mark Ryan - Dexus Property,NULL,11A Talavera Rd,NULL,North Ryde,NSW,2113,NULL,NULL,1,1,COL,1100L,1.1,R,NULL,RL8,04/11/2016-01:04:31-RunGen217,04/11/16 01:04:32,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Building A,NULL,Paper/Cardboard,NULL,0.000,NULL,5,1
2380,806400.00000,2016-11-06,NULL,NULL,0.0000000,0.0000000,2203.00000,Mawland Quarantine Station,Mawland Quarantine Station,North Head Scenic Drive,NULL,Manly,NSW,2095,NULL,NULL,61,61,COL,240L,0.24,R,CG40UW,RLE,04/11/2016-01:05:41-RunGen217,04/11/16 01:05:45,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,General Waste,NULL,783.060,NULL,1,1
332,800606.01000,2016-11-02,NULL,02:01,151.2089270,-33.8658890,1825.00200,Sydneywide Commercial Cleaning P/L,NULL,107 Pitt Street,NULL,Sydney,NSW,2000,NULL,NULL,2,2,LOOSE,660L,0,C,XVA350,RED,NULL,02/11/16 02:02:00,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Must be done between 11PM & 2AM - kerbside.,NULL,Cardboard,NULL,0.000,NULL,2,1
4972,808150.00000,2016-11-09,NULL,NULL,0.0000000,0.0000000,2576.00200,JLL (NSW) Pty Ltd - Marketplace Leichardt - Dock 2,NULL,100 Flood Street,NULL,Leichhardt,NSW,2040,NULL,NULL,4,4,COL,1100L,1.1,R,AK39DP,BR2,08/11/2016-00:59:56-RunGen217,08/11/16 00:59:57,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,If Dock closed call 0425 627 927. Please SMS 0418 404 566 if missing timeslot for night pick up.  Dock 2.,NULL,General Waste,NULL,154.880,NULL,2,1
